"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 01, 2019","0.165","0.150","0.165","0.150","132.50K","3.13%"
"Sep 30, 2019","0.160","0.160","0.160","0.155","128.20K","-3.03%"
"Sep 27, 2019","0.165","0.165","0.170","0.160","123.50K","-2.94%"
"Sep 26, 2019","0.170","0.165","0.170","0.160","177.21K","6.25%"
"Sep 25, 2019","0.160","0.160","0.165","0.160","229.95K","-3.03%"
"Sep 24, 2019","0.165","0.150","0.165","0.150","101.00K","10.00%"
"Sep 23, 2019","0.150","0.155","0.160","0.150","118.50K","-3.23%"
"Sep 20, 2019","0.155","0.160","0.160","0.155","12.64K","-6.06%"
"Sep 19, 2019","0.165","0.160","0.170","0.160","159.20K","10.00%"
"Sep 18, 2019","0.150","0.160","0.170","0.150","305.90K","-9.09%"
"Sep 17, 2019","0.165","0.170","0.175","0.150","454.60K","0.00%"
"Sep 16, 2019","0.165","0.160","0.165","0.150","72.01K","3.13%"
"Sep 13, 2019","0.160","0.160","0.165","0.160","100.50K","-3.03%"
"Sep 12, 2019","0.165","0.160","0.170","0.160","154.30K","3.13%"
"Sep 11, 2019","0.160","0.155","0.165","0.155","424.94K","10.34%"
"Sep 10, 2019","0.145","0.165","0.165","0.145","493.10K","-14.71%"
"Sep 09, 2019","0.170","0.170","0.175","0.165","244.67K","0.00%"
"Sep 06, 2019","0.170","0.180","0.190","0.170","274.79K","-2.86%"
"Sep 05, 2019","0.175","0.170","0.175","0.165","844.86K","12.90%"
"Sep 04, 2019","0.155","0.145","0.155","0.145","536.67K","10.71%"
"Sep 03, 2019","0.140","0.140","0.150","0.135","512.60K","16.67%"
"Aug 30, 2019","0.120","0.120","0.125","0.120","80.36K","-4.00%"
"Aug 29, 2019","0.125","0.120","0.125","0.120","90.50K","4.17%"
"Aug 28, 2019","0.120","0.120","0.120","0.120","76.50K","0.00%"
"Aug 27, 2019","0.120","0.120","0.120","0.115","258.70K","0.00%"
"Aug 26, 2019","0.120","0.115","0.120","0.115","169.00K","9.09%"
"Aug 23, 2019","0.110","0.115","0.115","0.110","153.77K","-4.35%"
"Aug 22, 2019","0.115","0.115","0.115","0.115","6.50K","-4.17%"
"Aug 21, 2019","0.120","0.115","0.120","0.115","83.60K","-4.00%"
"Aug 20, 2019","0.125","0.120","0.125","0.115","251.00K","4.17%"
"Aug 19, 2019","0.120","0.115","0.120","0.115","64.67K","-4.00%"
"Aug 16, 2019","0.125","0.120","0.125","0.115","42.17K","4.17%"
"Aug 15, 2019","0.120","0.120","0.120","0.115","56.06K","0.00%"
"Aug 14, 2019","0.120","0.125","0.125","0.115","256.50K","-7.69%"
"Aug 13, 2019","0.130","0.120","0.130","0.120","490.57K","18.18%"
"Aug 12, 2019","0.110","0.110","0.115","0.110","379.12K","0.00%"
"Aug 09, 2019","0.110","0.105","0.110","0.105","161.50K","10.00%"
"Aug 08, 2019","0.100","0.100","0.100","0.100","72.00K","0.00%"
"Aug 07, 2019","0.100","0.105","0.115","0.100","436.50K","-4.76%"
"Aug 06, 2019","0.105","0.100","0.110","0.100","533.50K","0.00%"
"Aug 02, 2019","0.105","0.095","0.105","0.095","288.84K","10.53%"
"Aug 01, 2019","0.095","0.090","0.100","0.090","327.50K","-5.00%"
"Jul 31, 2019","0.100","0.095","0.100","0.090","479.50K","5.26%"
"Jul 30, 2019","0.095","0.090","0.095","0.090","310.00K","11.76%"
"Jul 29, 2019","0.085","0.085","0.085","0.085","1.00K","0.00%"
"Jul 26, 2019","0.085","0.085","0.090","0.085","191.40K","-5.56%"
"Jul 25, 2019","0.090","0.095","0.095","0.080","291.00K","-10.00%"
"Jul 23, 2019","0.100","0.090","0.100","0.085","102.00K","0.00%"
"Jul 22, 2019","0.100","0.100","0.100","0.100","36.89K","0.00%"
"Jul 19, 2019","0.100","0.100","0.100","0.095","29.00K","0.00%"
"Jul 18, 2019","0.100","0.100","0.100","0.100","92.50K","0.00%"
"Jul 17, 2019","0.100","0.100","0.100","0.100","1.52K","0.00%"
"Jul 16, 2019","0.100","0.095","0.100","0.095","59.62K","11.11%"
"Jul 15, 2019","0.090","0.100","0.110","0.090","282.60K","-10.00%"
"Jul 12, 2019","0.100","0.095","0.105","0.085","712.89K","11.11%"
"Jul 11, 2019","0.090","0.075","0.090","0.075","133.00K","12.50%"
"Jul 10, 2019","0.080","0.075","0.080","0.075","328.80K","6.67%"
"Jul 09, 2019","0.075","0.075","0.075","0.075","70.00K","7.14%"
"Jul 08, 2019","0.070","0.070","0.075","0.070","126.30K","0.00%"
"Jul 05, 2019","0.070","0.070","0.070","0.070","59.10K","0.00%"
"Jul 04, 2019","0.070","0.070","0.070","0.070","101.50K","0.00%"
"Jul 03, 2019","0.070","0.070","0.070","0.070","79.90K","0.00%"
"Jul 02, 2019","0.070","0.070","0.070","0.070","118.00K","0.00%"
"Jun 28, 2019","0.070","0.070","0.070","0.070","50.10K","7.69%"
"Jun 27, 2019","0.065","0.065","0.065","0.065","80.10K","0.00%"
"Jun 26, 2019","0.065","0.065","0.065","0.065","42.20K","-7.14%"
"Jun 25, 2019","0.070","0.065","0.070","0.065","196.00K","7.69%"
"Jun 24, 2019","0.065","0.065","0.065","0.065","23.10K","0.00%"
"Jun 21, 2019","0.065","0.060","0.065","0.060","67.24K","8.33%"
"Jun 20, 2019","0.060","0.065","0.065","0.060","16.00K","-7.69%"
"Jun 19, 2019","0.065","0.065","0.065","0.065","37.68K","0.00%"
"Jun 18, 2019","0.065","0.065","0.070","0.060","88.00K","0.00%"
"Jun 17, 2019","0.065","0.065","0.065","0.065","43.00K","8.33%"
"Jun 14, 2019","0.060","0.070","0.070","0.060","258.57K","-7.69%"
"Jun 13, 2019","0.065","0.065","0.065","0.065","107.10K","0.00%"
"Jun 12, 2019","0.065","0.065","0.065","0.065","41.60K","0.00%"
"Jun 11, 2019","0.065","0.065","0.065","0.065","52.13K","0.00%"
"Jun 10, 2019","0.065","0.065","0.065","0.065","71.00K","0.00%"
"Jun 07, 2019","0.065","0.065","0.065","0.065","39.00K","0.00%"
"Jun 06, 2019","0.065","0.065","0.065","0.065","30.50K","8.33%"
"Jun 05, 2019","0.060","0.065","0.065","0.060","96.10K","-7.69%"
"Jun 04, 2019","0.065","0.065","0.065","0.065","3.00K","0.00%"
"Jun 03, 2019","0.065","0.065","0.065","0.065","10.00K","8.33%"
"May 31, 2019","0.060","0.060","0.060","0.060","2.00K","-7.69%"
"May 30, 2019","0.065","0.060","0.070","0.060","59.50K","0.00%"
"May 28, 2019","0.065","0.070","0.070","0.065","143.60K","-18.75%"
"May 27, 2019","0.080","0.075","0.080","0.075","20.00K","6.67%"
"May 24, 2019","0.075","0.070","0.075","0.065","27.00K","7.14%"
"May 23, 2019","0.070","0.070","0.085","0.070","194.00K","-17.65%"
"May 22, 2019","0.085","0.075","0.090","0.075","46.70K","0.00%"
"May 21, 2019","0.085","0.080","0.085","0.080","148.59K","13.33%"
"May 17, 2019","0.075","0.070","0.075","0.070","25.46K","-6.25%"
"May 16, 2019","0.080","0.065","0.080","0.065","90.01K","14.29%"
"May 15, 2019","0.070","0.070","0.070","0.065","37.00K","0.00%"
"May 14, 2019","0.070","0.070","0.075","0.070","22.04K","0.00%"
"May 13, 2019","0.070","0.065","0.070","0.065","122.05K","0.00%"
"May 10, 2019","0.070","0.070","0.070","0.070","15.10K","-6.67%"
"May 09, 2019","0.075","0.075","0.075","0.075","4.54K","7.14%"
"May 08, 2019","0.070","0.070","0.070","0.070","7.44K","-6.67%"
"May 07, 2019","0.075","0.065","0.075","0.065","5.00K","0.00%"
"May 06, 2019","0.075","0.070","0.075","0.065","79.00K","7.14%"
"May 03, 2019","0.070","0.070","0.075","0.070","92.60K","-6.67%"
"May 02, 2019","0.075","0.075","0.075","0.075","39.00K","0.00%"
"May 01, 2019","0.075","0.075","0.075","0.075","31.00K","0.00%"
"Apr 30, 2019","0.075","0.075","0.080","0.070","57.90K","-6.25%"
"Apr 29, 2019","0.080","0.080","0.080","0.080","1.55K","-5.88%"
"Apr 26, 2019","0.085","0.085","0.085","0.080","151.30K","6.25%"
"Apr 25, 2019","0.080","0.070","0.080","0.070","2.74M","0.00%"
